Tumor_Sample_ID,Tumor_Sample_Index
TCGA-D8-A1XT,937
TCGA-D8-A1JF,938
TCGA-23-1022,939
TCGA-27-1838,940
TCGA-24-2030,941
TCGA-23-1116,942
TCGA-E9-A54X,943
TCGA-23-1021,944
TCGA-A2-A04Q,945
TCGA-AA-A01Z,946
TCGA-BH-A0B6,947
TCGA-B5-A0K9,948
TCGA-24-1556,949
TCGA-97-7937,950
TCGA-64-5775,951
TCGA-B6-A408,952
TCGA-69-7760,953
TCGA-78-7159,954
TCGA-28-5211,955
TCGA-04-1364,956
TCGA-13-1483,957
TCGA-D1-A16R,958
TCGA-76-6280,959
TCGA-B5-A11G,960
TCGA-32-2495,961
TCGA-24-1560,962
TCGA-06-0152,963
TCGA-A5-A0R6,964
TCGA-76-6286,965
TCGA-26-5135,966
TCGA-AA-3819,967
TCGA-73-4675,968
TCGA-E2-A1LB,969
TCGA-A2-A4RX,970
TCGA-14-0789,971
TCGA-BH-A28O,972
TCGA-BG-A0MC,973
TCGA-04-1362,974
TCGA-28-5204,975
TCGA-BH-A1F2,976
TCGA-AP-A053,977
TCGA-91-6835,978
TCGA-BH-A0B7,979
TCGA-24-1436,980
TCGA-28-2510,981
TCGA-B5-A0JS,982
TCGA-A2-A04R,983
TCGA-B5-A0K7,984
TCGA-23-1032,985
TCGA-36-1577,986
TCGA-EY-A212,987
TCGA-C8-A12N,988
TCGA-14-0787,989
TCGA-AR-A24X,990
TCGA-A8-A07F,991
TCGA-B6-A0WY,992
TCGA-AA-3956,993
TCGA-44-6776,994
TCGA-AA-3955,995
TCGA-23-1024,996
TCGA-E2-A14T,997
TCGA-BH-A0BS,998
TCGA-AC-A62Y,999
TCGA-24-1471,1000
TCGA-44-7659,1001
TCGA-23-1031,1002
TCGA-AA-3684,1003
TCGA-02-0033,1004
TCGA-69-7980,1005
TCGA-BH-A18J,1006
TCGA-06-0876,1007
TCGA-55-7914,1008
TCGA-AA-A00J,1009
TCGA-E2-A15K,1010
TCGA-91-6849,1011
TCGA-A2-A0YL,1012
TCGA-AG-3882,1013
TCGA-BG-A0LW,1014
TCGA-C8-A134,1015
TCGA-BG-A0VT,1016
TCGA-73-7498,1017
TCGA-D1-A16B,1018
TCGA-55-7907,1019
TCGA-EW-A1PG,1020
TCGA-02-2483,1021
TCGA-06-0166,1022
TCGA-B6-A1KF,1023
TCGA-06-6699,1024
TCGA-BH-A2L8,1025
TCGA-A8-A09K,1026
