Gene_Name,Index
AVIL,1316
AVL9,1317
AVPI1,1318
AVPR1A,1319
AVPR1B,1320
AVPR2,1321
AWAT1,1322
AWAT2,1323
AXDND1,1324
AXIN1,1325
AXIN2,1326
AXL,1327
AZGP1,1328
AZGP1P2,1329
AZI1,1330
AZI2,1331
AZIN1,1332
AZU1,1333
B2M,1334
B3GALNT1,1335
B3GALNT2,1336
B3GALT1,1337
B3GALT2,1338
B3GALT4,1339
B3GALT5,1340
B3GALT6,1341
B3GALTL,1342
B3GAT1,1343
B3GAT2,1344
B3GAT3,1345
B3GNT1,1346
B3GNT2,1347
B3GNT3,1348
B3GNT4,1349
B3GNT5,1350
B3GNT6,1351
B3GNT7,1352
B3GNT8,1353
B3GNT9,1354
B3GNTL1,1355
B4GALNT1,1356
B4GALNT2,1357
B4GALNT3,1358
B4GALNT4,1359
B4GALT1,1360
B4GALT2,1361
B4GALT3,1362
B4GALT4,1363
B4GALT5,1364
B4GALT6,1365
B4GALT7,1366
B9D1,1367
B9D2,1368
BAALC,1369
BAAT,1370
BABAM1,1371
BACE1,1372
BACE2,1373
BACH1,1374
BACH2,1375
BAD,1376
BAG1,1377
BAG2,1378
BAG3,1379
BAG4,1380
BAG5,1381
BAG6,1382
BAGE2,1383
BAHCC1,1384
BAHD1,1385
BAI1,1386
BAI2,1387
BAI3,1388
BAIAP2,1389
BAIAP2L1,1390
BAIAP2L2,1391
BAIAP3,1392
BAK1,1393
BAMBI,1394
BANF1,1395
BANF2,1396
BANK1,1397
BANP,1398
BAP1,1399
BARD1,1400
BARHL1,1401
BARHL2,1402
BARX1,1403
BARX2,1404
BASP1,1405
BAT1,1406
BAT2,1407
BAT2L1,1408
BAT2L2,1409
BAT3,1410
BAT4,1411
BAT5,1412
BATF,1413
BATF2,1414
BATF3,1415
BAX,1416
BAZ1A,1417
BAZ1B,1418
BAZ2A,1419
BAZ2B,1420
BBC3,1421
BBOX1,1422
BBS1,1423
BBS10,1424
BBS12,1425
BBS2,1426
BBS4,1427
BBS5,1428
BBS7,1429
BBS9,1430
BBX,1431
BCAM,1432
BCAN,1433
BCAP29,1434
BCAP31,1435
BCAR1,1436
BCAR3,1437
BCAS1,1438
BCAS2,1439
BCAS3,1440
BCAS4,1441
BCAT1,1442
BCAT2,1443
BCCIP,1444
BCDIN3D,1445
BCHE,1446
BCKDHA,1447
BCKDHB,1448
BCKDK,1449
BCL10,1450
BCL11A,1451
BCL11B,1452
BCL2,1453
BCL2A1,1454
BCL2L1,1455
BCL2L10,1456
BCL2L11,1457
BCL2L12,1458
BCL2L13,1459
BCL2L14,1460
BCL2L15,1461
